中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,631 Mbps,80793 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,8 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,26 ms,1824 Mbps,233472 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,641 Mbps,82124 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,31 ms,399 Mbps,51097 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,33 ms,808 Mbps,103424 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,21 ms,721 Mbps,92364 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,36 ms,242 Mbps,31027 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,40 ms,824 Mbps,105472 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,111 ms,40 Mbps,5198 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,65 ms,340 Mbps,43520 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,72 ms,37 Mbps,4779 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,69 ms,25 Mbps,3260 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,74 ms,328 Mbps,41984 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,9 Mbps,1255 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,224 Mbps,28672 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,117 ms,46 Mbps,5923 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,131 ms,154 Mbps,19763 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,164 ms,44 Mbps,5731 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,177 ms,149 Mbps,19148 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,173 ms,120 Mbps,15360 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,153 ms,129 Mbps,16588 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,122 Mbps,15667 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,140 ms,130 Mbps,16691 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,162 ms,43 Mbps,5542 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,180 ms,19 Mbps,2474 kB/s
158.101.130.149,443,2602:ffe4:407:21d9:0:b296:1490:1e60,SG,Singapore,隧道,174 ms,73 Mbps,9384 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,185 ms,1 Mbps,189 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,177 ms,2 Mbps,319 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,175 ms,2 Mbps,268 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,47 Mbps,6118 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,178 ms,0 Mbps,50 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,105 ms,0 Mbps,74 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,158 ms,0 Mbps,10 kB/s
