中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,832 Mbps,106496 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,3 ms,458 Mbps,58675 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,22 ms,785 Mbps,100556 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,518 Mbps,66355 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,21 ms,1312 Mbps,167936 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,76 ms,7 Mbps,947 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,43 ms,1064 Mbps,136192 kB/s
129.146.46.164,443,129.146.46.164,281 Mbps,36044 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,42 ms,583 Mbps,74649 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,37 ms,595 Mbps,76185 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,94 ms,51 Mbps,6552 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,324 Mbps,41574 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,39 ms,616 Mbps,78848 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,123 ms,46 Mbps,5906 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,124 ms,125 Mbps,16076 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,214 ms,25 Mbps,3267 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,118 ms,16 Mbps,2071 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,150 ms,46 Mbps,5913 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,220 ms,9 Mbps,1241 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,140 ms,12 Mbps,1547 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,157 Mbps,20172 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,153 ms,125 Mbps,16076 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,143 ms,42 Mbps,5414 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,151 ms,17 Mbps,2229 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,161 ms,42 Mbps,5463 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,175 ms,0 Mbps,91 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,166 ms,105 Mbps,13516 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,201 ms,51 Mbps,6565 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,168 ms,1 Mbps,162 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,1144 ms,42 Mbps,5452 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,13 ms,308 Mbps,39526 kB/s
