中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,23 ms,778 Mbps,99635 kB/s,99635.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,26 ms,769 Mbps,98508 kB/s,98508.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,52 ms,550 Mbps,70451 kB/s,70451.0
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,50 ms,538 Mbps,68915 kB/s,68915.0
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,47 ms,532 Mbps,68096 kB/s,68096.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,30 ms,524 Mbps,67072 kB/s,67072.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,41 ms,510 Mbps,65331 kB/s,65331.0
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,51 ms,505 Mbps,64716 kB/s,64716.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,67 ms,352 Mbps,45158 kB/s,45158.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,345 Mbps,44236 kB/s,44236.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,134 ms,184 Mbps,23654 kB/s,23654.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,126 ms,167 Mbps,21401 kB/s,21401.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,159 Mbps,20377 kB/s,20377.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,124 ms,156 Mbps,19968 kB/s,19968.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,149 ms,152 Mbps,19558 kB/s,19558.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,141 ms,148 Mbps,18944 kB/s,18944.0
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,168 ms,126 Mbps,16179 kB/s,16179.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,200 ms,74 Mbps,9517 kB/s,9517.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,149 ms,42 Mbps,5439 kB/s,5439.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,42 Mbps,5384 kB/s,5384.0
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,120 ms,41 Mbps,5295 kB/s,5295.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,132 ms,39 Mbps,5033 kB/s,5033.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,37 Mbps,4798 kB/s,4798.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,191 ms,36 Mbps,4723 kB/s,4723.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,188 ms,34 Mbps,4404 kB/s,4404.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,24 ms,16 Mbps,2133 kB/s,2133.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,11 Mbps,1480 kB/s,1480.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,173 ms,4 Mbps,585 kB/s,585.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,146 ms,2 Mbps,359 kB/s,359.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,135 ms,1 Mbps,150 kB/s,150.0
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,195 ms,1 Mbps,136 kB/s,136.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,347 ms,0 Mbps,15 kB/s,15.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,197 ms,0 Mbps,12 kB/s,12.0
