中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,17 ms,469 Mbps,60108 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,17 ms,363 Mbps,46489 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,19 ms,984 Mbps,125952 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,38 ms,1264 Mbps,161792 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,21 ms,1112 Mbps,142336 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,54 ms,597 Mbps,76492 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,60 ms,45 Mbps,5816 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,864 Mbps,110592 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,441 Mbps,56524 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,25 ms,253 Mbps,32460 kB/s
35.230.79.26,443,35.212.173.150,US,Seattle,隧道,39 ms,488 Mbps,62566 kB/s
35.197.23.75,443,35.212.173.150,US,Seattle,隧道,44 ms,611 Mbps,78233 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,58 ms,7 Mbps,931 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,404 Mbps,51814 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,124 ms,47 Mbps,6095 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,205 Mbps,26316 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,40 Mbps,5217 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,188 ms,37 Mbps,4791 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,142 ms,162 Mbps,20787 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,151 ms,126 Mbps,16179 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,145 ms,135 Mbps,17305 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,41 Mbps,5370 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,140 ms,43 Mbps,5617 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,149 ms,41 Mbps,5375 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,157 ms,13 Mbps,1729 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,211 ms,44 Mbps,5677 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,155 ms,41 Mbps,5274 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,30 Mbps,3863 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,156 ms,40 Mbps,5121 kB/s
141.148.224.123,443,2606:f240:f00:6f50:0:755f:bdb7:58ea,DE,Salt Lake City,隧道,143 ms,20 Mbps,2665 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,153 ms,1 Mbps,245 kB/s
