中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,592 Mbps,75776 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,20 ms,5 Mbps,757 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,48 ms,472 Mbps,60416 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,51 ms,465 Mbps,59596 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,48 ms,413 Mbps,52940 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,21 ms,28 Mbps,3586 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,407 Mbps,52121 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,461 Mbps,59084 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,55 ms,390 Mbps,49971 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,60 ms,222 Mbps,28467 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,68 ms,432 Mbps,55296 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,56 ms,455 Mbps,58265 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,217 Mbps,27852 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,172 Mbps,22016 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,44 Mbps,5638 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,171 Mbps,21913 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,133 Mbps,17100 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,203 ms,60 Mbps,7718 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,152 ms,36 Mbps,4642 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,47 Mbps,6104 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,160 ms,43 Mbps,5507 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,229 ms,33 Mbps,4314 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,139 ms,45 Mbps,5878 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,188 ms,42 Mbps,5478 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,196 ms,40 Mbps,5120 kB/s
8.219.88.129,443,8.219.96.61,SG,Singapore,隧道,235 ms,70 Mbps,8993 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,270 ms,34 Mbps,4455 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,209 ms,30 Mbps,3868 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,209 ms,0 Mbps,9 kB/s
