中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,2 ms,100 Mbps,12800 kB/s
35.230.79.26,443,35.212.254.121,US,Seattle,隧道,75 ms,189 Mbps,24268 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,744 Mbps,95232 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,3 ms,832 Mbps,106496 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,15 ms,1480 Mbps,189440 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,44 Mbps,5672 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,92 ms,294 Mbps,37683 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,93 ms,54 Mbps,7027 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,13 ms,145 Mbps,18636 kB/s
35.197.23.75,443,35.212.254.121,US,Seattle,隧道,71 ms,312 Mbps,39936 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,208 Mbps,26726 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,101 ms,248 Mbps,31846 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,86 ms,428 Mbps,54886 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,16 ms,1608 Mbps,205824 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,275 Mbps,35225 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,76 ms,380 Mbps,48742 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,66 ms,368 Mbps,47104 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,232 Mbps,29798 kB/s
84.235.175.57,443,2a0b:21c0:100a:1fa:0:2eae:f96a:e5af,DE,Frankfurt,隧道,104 ms,228 Mbps,29184 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,276 Mbps,35430 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,228 Mbps,29286 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,116 ms,45 Mbps,5824 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,95 ms,44 Mbps,5663 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,44 Mbps,5655 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,125 Mbps,16076 kB/s
143.47.176.251,443,2a0b:21c0:100a:1b6:0:b250:a619:b28c,DE,Frankfurt,隧道,102 ms,274 Mbps,35123 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,89 ms,49 Mbps,6339 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,106 ms,48 Mbps,6192 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,180 ms,46 Mbps,5956 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,188 ms,42 Mbps,5463 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,181 ms,46 Mbps,5949 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,179 ms,148 Mbps,18944 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,36 Mbps,4620 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,217 ms,74 Mbps,9577 kB/s
130.162.144.191,443,2a09:bac1:3f40::20b:a3,KR,Seoul,隧道,215 ms,36 Mbps,4687 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,223 ms,75 Mbps,9663 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,247 ms,31 Mbps,4085 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,230 ms,39 Mbps,5099 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,248 ms,2 Mbps,320 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,273 ms,37 Mbps,4824 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,211 ms,3 Mbps,506 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,252 ms,0 Mbps,48 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,263 ms,0 Mbps,18 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,212 ms,1 Mbps,226 kB/s
