中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1680 Mbps,215040 kB/s,215040.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,628 Mbps,80486 kB/s,80486.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,432 Mbps,55296 kB/s,55296.0
35.197.23.75,443,35.212.233.117,US,Seattle,隧道,72 ms,383 Mbps,49049 kB/s,49049.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,348 Mbps,44544 kB/s,44544.0
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,83 ms,344 Mbps,44134 kB/s,44134.0
35.230.79.26,443,35.212.233.117,US,Seattle,隧道,75 ms,314 Mbps,40243 kB/s,40243.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,306 Mbps,39219 kB/s,39219.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,298 Mbps,38195 kB/s,38195.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,247 Mbps,31641 kB/s,31641.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,230 Mbps,29491 kB/s,29491.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,94 ms,225 Mbps,28876 kB/s,28876.0
158.178.155.231,443,2606:f240:f00:a683:0:110a:440f:4e9f,DE,Frankfurt,隧道,92 ms,224 Mbps,28672 kB/s,28672.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,32 ms,220 Mbps,28160 kB/s,28160.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,209 Mbps,26828 kB/s,26828.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,209 Mbps,26828 kB/s,26828.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,128 Mbps,16486 kB/s,16486.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,100 Mbps,12800 kB/s,12800.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,89 ms,46 Mbps,5919 kB/s,5919.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,45 Mbps,5852 kB/s,5852.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,44 Mbps,5684 kB/s,5684.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,166 ms,44 Mbps,5659 kB/s,5659.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,178 ms,43 Mbps,5629 kB/s,5629.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,43 Mbps,5539 kB/s,5539.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,90 ms,42 Mbps,5395 kB/s,5395.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,203 ms,35 Mbps,4483 kB/s,4483.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,221 ms,33 Mbps,4285 kB/s,4285.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,211 ms,33 Mbps,4284 kB/s,4284.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,240 ms,27 Mbps,3532 kB/s,3532.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,245 ms,10 Mbps,1404 kB/s,1404.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,243 ms,1 Mbps,250 kB/s,250.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,109 ms,0 Mbps,39 kB/s,39.0
